iter	Passed	Remaining
0	5	512
1	10	513
2	14	475
3	20	489
4	25	487
5	30	476
6	33	451
7	39	455
8	45	456
9	49	448
10	53	433
11	58	429
12	62	417
13	66	405
14	72	411
15	78	410
16	83	408
17	88	403
18	93	398
19	99	396
20	103	388
21	108	384
22	114	382
23	117	372
24	122	368
25	127	363
26	133	360
27	136	351
28	140	345
29	146	341
30	150	334
31	154	328
32	159	324
33	164	319
34	169	314
35	175	311
36	179	306
37	185	302
38	190	297
39	193	290
40	197	284
41	203	280
42	208	276
43	214	272
44	219	268
45	224	264
46	230	259
47	235	255
48	241	251
49	246	246
50	252	242
51	259	239
52	264	234
53	269	229
54	274	224
55	279	219
56	285	215
57	290	210
58	296	206
59	301	200
60	307	196
61	313	192
62	318	187
63	324	182
64	330	177
65	336	173
66	341	168
67	347	163
68	352	158
69	358	153
70	362	148
71	368	143
72	374	138
73	379	133
74	385	128
75	391	123
76	397	118
77	402	113
78	407	108
79	413	103
80	418	98
81	424	93
82	429	88
83	435	82
84	440	77
85	446	72
86	451	67
87	456	62
88	461	57
89	467	51
90	473	46
91	478	41
92	484	36
93	489	31
94	494	26
95	499	20
96	505	15
97	509	10
98	515	5
99	521	0
