iter	Passed	Remaining
0	7	7901
1	15	7734
2	23	7809
3	32	8016
4	40	7966
5	47	7915
6	55	7919
7	63	7875
8	71	7825
9	79	7827
10	87	7852
11	94	7815
12	103	7846
13	113	7988
14	121	7994
15	130	8008
16	138	7997
17	145	7956
18	153	7951
19	162	7950
20	170	7941
21	178	7913
22	185	7889
23	193	7870
24	201	7862
25	209	7840
26	216	7805
27	223	7758
28	231	7742
29	239	7727
30	246	7697
31	254	7695
32	261	7660
33	268	7632
34	275	7597
35	283	7582
36	291	7592
37	298	7564
38	306	7547
39	313	7522
40	319	7483
41	327	7471
42	334	7440
43	340	7407
44	347	7373
45	354	7351
46	362	7343
47	370	7341
48	377	7332
49	384	7312
50	391	7288
51	398	7265
52	405	7244
53	411	7215
54	418	7191
55	425	7169
56	432	7154
57	439	7139
58	446	7126
59	452	7089
60	459	7077
61	467	7071
62	474	7058
63	481	7039
64	487	7016
65	494	6994
66	501	6980
67	508	6964
68	515	6952
69	523	6952
70	531	6947
71	538	6941
72	545	6921
73	552	6915
74	558	6892
75	566	6888
76	572	6866
77	580	6859
78	587	6848
79	593	6830
80	600	6815
81	607	6799
82	614	6788
83	621	6782
84	628	6766
85	636	6760
86	643	6748
87	649	6734
88	656	6723
89	664	6715
90	671	6710
91	679	6709
92	687	6701
93	694	6689
94	701	6685
95	708	6676
96	715	6661
97	723	6655
98	730	6647
99	738	6647
100	746	6641
101	753	6634
102	761	6631
103	769	6630
104	778	6635
105	785	6628
106	795	6637
107	802	6629
108	810	6621
109	816	6604
110	823	6594
111	829	6579
112	836	6569
113	844	6561
114	851	6550
115	858	6545
116	866	6538
117	873	6529
118	880	6515
119	886	6500
120	892	6486
121	900	6478
122	906	6465
123	914	6461
124	921	6448
125	928	6437
126	933	6419
127	940	6407
128	948	6402
129	955	6392
130	962	6384
131	969	6374
132	975	6362
133	983	6353
134	990	6349
135	998	6341
136	1005	6332
137	1012	6323
138	1020	6321
139	1028	6318
140	1036	6312
141	1044	6309
142	1051	6304
143	1058	6294
144	1065	6282
145	1072	6271
146	1078	6259
147	1085	6249
148	1092	6239
149	1098	6227
150	1106	6219
151	1112	6209
152	1119	6198
153	1126	6186
154	1132	6176
155	1140	6168
156	1147	6160
157	1155	6155
158	1161	6143
159	1168	6133
160	1175	6123
161	1181	6112
162	1188	6104
163	1196	6101
164	1204	6096
165	1212	6092
166	1221	6091
167	1229	6089
168	1237	6085
169	1245	6079
170	1253	6075
171	1261	6072
172	1268	6061
173	1275	6057
174	1283	6049
175	1291	6046
176	1299	6041
177	1306	6035
178	1313	6026
179	1320	6013
180	1327	6006
181	1335	6002
182	1343	5997
183	1350	5990
184	1357	5978
185	1364	5971
186	1371	5964
187	1379	5957
188	1387	5954
189	1394	5945
190	1402	5939
191	1409	5933
192	1417	5925
193	1424	5919
194	1432	5913
195	1439	5906
196	1446	5896
197	1453	5887
198	1460	5876
199	1466	5867
200	1473	5856
201	1480	5847
202	1486	5837
203	1493	5828
204	1501	5822
205	1508	5814
206	1516	5810
207	1524	5803
208	1531	5798
209	1539	5790
210	1545	5780
211	1553	5774
212	1560	5767
213	1568	5761
214	1576	5754
215	1584	5749
216	1591	5743
217	1599	5736
218	1607	5731
219	1614	5724
220	1621	5714
221	1627	5705
222	1634	5693
223	1640	5684
224	1647	5675
225	1655	5670
226	1662	5661
227	1669	5651
228	1677	5647
229	1685	5642
230	1692	5632
231	1699	5627
232	1707	5619
233	1713	5609
234	1720	5599
235	1727	5590
236	1733	5580
237	1740	5571
238	1746	5561
239	1754	5554
240	1761	5546
241	1768	5538
242	1774	5528
243	1781	5518
244	1787	5508
245	1794	5499
246	1800	5488
247	1806	5477
248	1812	5466
249	1818	5455
250	1824	5444
251	1830	5432
252	1835	5420
253	1842	5410
254	1848	5399
255	1853	5386
256	1860	5377
257	1865	5365
258	1871	5354
259	1877	5344
260	1884	5334
261	1890	5323
262	1896	5314
263	1901	5301
264	1908	5292
265	1913	5281
266	1919	5269
267	1925	5259
268	1931	5248
269	1937	5237
270	1942	5225
271	1948	5214
272	1954	5204
273	1959	5192
274	1965	5182
275	1971	5172
276	1977	5161
277	1983	5151
278	1989	5141
279	1995	5130
280	2000	5118
281	2006	5108
282	2012	5099
283	2018	5089
284	2024	5079
285	2030	5069
286	2036	5058
287	2042	5049
288	2048	5039
289	2054	5029
290	2059	5018
291	2065	5007
292	2071	4998
293	2077	4989
294	2083	4979
295	2089	4969
296	2095	4959
297	2100	4949
298	2106	4938
299	2112	4930
300	2119	4921
301	2125	4913
302	2131	4903
303	2137	4893
304	2143	4884
305	2149	4874
306	2154	4864
307	2160	4854
308	2166	4844
309	2171	4833
310	2177	4823
311	2183	4814
312	2189	4804
313	2194	4795
314	2200	4785
315	2206	4776
316	2212	4766
317	2217	4756
318	2223	4746
319	2229	4736
320	2235	4728
321	2241	4720
322	2247	4711
323	2254	4702
324	2260	4694
325	2267	4687
326	2273	4678
327	2279	4669
328	2285	4661
329	2291	4652
330	2297	4643
331	2304	4636
332	2310	4628
333	2317	4620
334	2323	4613
335	2330	4605
336	2336	4597
337	2342	4588
338	2348	4580
339	2355	4571
340	2361	4562
341	2366	4553
342	2372	4544
343	2378	4536
344	2384	4527
345	2390	4518
346	2396	4509
347	2402	4502
348	2408	4493
349	2414	4483
350	2420	4475
351	2426	4466
352	2433	4459
353	2439	4451
354	2445	4443
355	2451	4434
356	2457	4426
357	2463	4417
358	2470	4411
359	2477	4404
360	2483	4396
361	2490	4388
362	2495	4379
363	2502	4371
364	2508	4363
365	2513	4354
366	2519	4346
367	2526	4338
368	2531	4329
369	2537	4320
370	2543	4312
371	2549	4304
372	2556	4296
373	2561	4287
374	2567	4279
375	2573	4270
376	2579	4261
377	2584	4252
378	2590	4244
379	2596	4236
380	2602	4227
381	2608	4219
382	2614	4211
383	2620	4203
384	2627	4196
385	2634	4189
386	2640	4182
387	2646	4174
388	2652	4167
389	2658	4158
390	2665	4151
391	2671	4144
392	2678	4136
393	2684	4128
394	2690	4120
395	2697	4114
396	2704	4108
397	2710	4100
398	2717	4093
399	2723	4085
400	2729	4077
401	2736	4070
402	2743	4063
403	2749	4056
404	2756	4050
405	2763	4042
406	2769	4035
407	2776	4028
408	2782	4020
409	2788	4012
410	2795	4006
411	2802	3999
412	2808	3991
413	2815	3984
414	2821	3976
415	2828	3970
416	2834	3963
417	2841	3956
418	2847	3948
419	2854	3941
420	2861	3935
421	2868	3929
422	2875	3922
423	2882	3915
424	2888	3908
425	2895	3902
426	2902	3894
427	2908	3887
428	2915	3880
429	2921	3873
430	2928	3865
431	2934	3858
432	2941	3851
433	2947	3843
434	2952	3835
435	2959	3828
436	2966	3821
437	2973	3815
438	2981	3809
439	2988	3803
440	2995	3797
441	3003	3791
442	3011	3786
443	3018	3780
444	3025	3772
445	3031	3765
446	3037	3758
447	3045	3752
448	3052	3746
449	3059	3739
450	3066	3732
451	3072	3725
452	3079	3718
453	3087	3712
454	3094	3706
455	3101	3699
456	3108	3693
457	3115	3687
458	3123	3681
459	3129	3673
460	3136	3666
461	3143	3660
462	3149	3652
463	3155	3645
464	3162	3638
465	3168	3630
466	3175	3623
467	3182	3617
468	3188	3610
469	3194	3602
470	3201	3595
471	3207	3588
472	3213	3580
473	3220	3573
474	3227	3566
475	3233	3559
476	3240	3552
477	3246	3545
478	3252	3537
479	3258	3530
480	3265	3523
481	3271	3515
482	3277	3507
483	3283	3500
484	3290	3493
485	3296	3486
486	3302	3478
487	3309	3471
488	3315	3464
489	3322	3457
490	3328	3450
491	3334	3443
492	3341	3436
493	3347	3429
494	3354	3422
495	3360	3414
496	3366	3407
497	3372	3399
498	3379	3392
499	3385	3385
500	3391	3378
501	3399	3372
502	3408	3367
503	3415	3360
504	3421	3354
505	3428	3347
506	3435	3341
507	3442	3334
508	3449	3327
509	3455	3320
510	3461	3312
511	3468	3305
512	3475	3299
513	3481	3291
514	3488	3284
515	3494	3277
516	3500	3270
517	3507	3263
518	3513	3256
519	3519	3248
